 ,Merge Sort random,Merge Sort sorted,Merge Sort reversed,Quick Sort V2 random,Quick Sort V2 sorted,Quick Sort V2 reversed,Quick Sort random,Quick Sort sorted,Quick Sort reversed,Radix Sort random,Radix Sort sorted,Radix Sort reversed,
5000,12,11,14,0,0,3,0,0,6,2,1,2,
10000,10,13,13,0,0,7,0,0,8,1,0,1,
15000,12,11,9,1,0,10,1,0,20,1,1,1,
20000,16,15,16,1,0,22,1,0,50,2,1,1,
25000,20,17,16,2,0,27,1,0,46,1,1,1,
30000,18,20,18,2,0,36,1,0,81,2,2,3,
35000,29,27,28,3,0,73,3,0,94,2,2,2,
40000,27,25,25,3,0,76,4,0,179,2,2,2,
45000,28,25,26,3,0,78,2,0,170,4,3,3,
